Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value
int,String,String,String,String,String,String,String,int
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,3508
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,0
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H03,Sales of other goods and services,Financial performance,0
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H04,Sales government funding grants and subsidies,Financial performance,3329
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H05,Interest dividends and donations,Financial performance,56
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H06,Government funding grants and subsidies,Financial performance,0
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,124
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,3059
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,191
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,32
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,159
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid,Financial performance,600
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance,Financial performance,0
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,0
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,0
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,2069
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses,Financial performance,7
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks,Financial performance,285
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks,Financial performance,298
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax,Financial performance,462
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H24,Total assets,Financial position,10140
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H25,Current assets,Financial position,1916
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets,Financial position,6858
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,1366
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,10140
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,4347
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,2724
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,3069
